Price,Currency,Location,Rooms,Area,Floor
320 000,AZN,Nəriman Nərimanov m.,3 otaqlı,147.5 m²,15/17 mərtəbə
320 000,AZN,Nəsimi r.,3 otaqlı,133 m²,3/16 mərtəbə
142 000,AZN,Qara Qarayev m.,2 otaqlı,55 m²,9/17 mərtəbə
302 000,AZN,Nəriman Nərimanov m.,4 otaqlı,100 m²,12/16 mərtəbə
320 000,AZN,8 Noyabr m.,3 otaqlı,137 m²,15/17 mərtəbə
176 000,AZN,Qara Qarayev m.,2 otaqlı,72 m²,2/16 mərtəbə
135 000,AZN,Nəriman Nərimanov m.,1 otaqlı,40 m²,3/16 mərtəbə
368 000,AZN,8 Noyabr m.,3 otaqlı,147.5 m²,27/27 mərtəbə
240 000,AZN,28 May m.,3 otaqlı,139.3 m²,8/16 mərtəbə
92 000,AZN,Hövsan q.,3 otaqlı,67 m²,4/7 mərtəbə
345 000,AZN,8-ci kilometr q.,3 otaqlı,129 m²,10/19 mərtəbə
329 035,AZN,Nardaran q.,1 otaqlı,55.3 m²,5/7 mərtəbə
339 000,AZN,Nəriman Nərimanov m.,3 otaqlı,94 m²,16/17 mərtəbə
93 000,AZN,Qara Qarayev m.,1 otaqlı,39 m²,5/16 mərtəbə
114 000,AZN,Köhnə Günəşli q.,2 otaqlı,60 m²,1/9 mərtəbə
140 000,AZN,Gənclik m.,2 otaqlı,34 m²,7/16 mərtəbə
325 000,AZN,Nəriman Nərimanov m.,3 otaqlı,128 m²,12/16 mərtəbə
105 000,AZN,Neftçilər m.,1 otaqlı,40 m²,3/5 mərtəbə
307 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,126 m²,7/17 mərtəbə
129 000,AZN,İnşaatçılar m.,2 otaqlı,50 m²,7/14 mərtəbə
390 000,AZN,Nəsimi r.,4 otaqlı,172 m²,5/20 mərtəbə
335 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,130 m²,13/14 mərtəbə
345 000,AZN,8 Noyabr m.,3 otaqlı,140 m²,7/11 mərtəbə
395 000,AZN,Nəsimi r.,4 otaqlı,150 m²,12/15 mərtəbə
1 230 000,AZN,Nəsimi r.,4 otaqlı,205 m²,11/17 mərtəbə
220 000,AZN,Nizami m.,2 otaqlı,61 m²,3/6 mərtəbə
495 000,AZN,Nəsimi r.,4 otaqlı,195 m²,8/16 mərtəbə
234 800,AZN,Azadlıq Prospekti m.,3 otaqlı,85 m²,4/9 mərtəbə
690 000,AZN,Gənclik m.,3 otaqlı,143.9 m²,15/17 mərtəbə
178 000,AZN,Neftçilər m.,2 otaqlı,76 m²,14/18 mərtəbə
369 000,AZN,Gənclik m.,3 otaqlı,130 m²,12/16 mərtəbə
165 000,AZN,Həzi Aslanov m.,2 otaqlı,80 m²,7/14 mərtəbə
215 000,AZN,Nərimanov r.,2 otaqlı,68 m²,10/15 mərtəbə
290 000,AZN,8 Noyabr m.,4 otaqlı,130 m²,16/20 mərtəbə
370 000,AZN,Nəriman Nərimanov m.,3 otaqlı,120 m²,5/16 mərtəbə
90 000,AZN,Əmircan q.,2 otaqlı,52 m²,3/5 mərtəbə
280 000,AZN,İnşaatçılar m.,3 otaqlı,103 m²,9/16 mərtəbə
595 000,AZN,Ağ şəhər q.,4 otaqlı,161 m²,14/20 mərtəbə
510 000,AZN,Nizami r.,3 otaqlı,148 m²,9/19 mərtəbə
196 000,AZN,Neftçilər m.,3 otaqlı,87.8 m²,2/14 mərtəbə
205 000,AZN,Qara Qarayev m.,3 otaqlı,95 m²,5/17 mərtəbə
164 000,AZN,Yeni Yasamal q.,3 otaqlı,93 m²,2/14 mərtəbə
64 000,AZN,Hövsan q.,1 otaqlı,39 m²,1/7 mərtəbə
220 000,AZN,İnşaatçılar m.,3 otaqlı,150 m²,11/18 mərtəbə
150 000,AZN,Masazır q.,3 otaqlı,90 m²,4/7 mərtəbə
220 000,AZN,Nizami m.,2 otaqlı,54 m²,7/15 mərtəbə
180 000,AZN,Nizami r.,2 otaqlı,94 m²,11/12 mərtəbə
425 000,AZN,Nəsimi r.,4 otaqlı,236 m²,4/16 mərtəbə
209 000,AZN,Nizami m.,2 otaqlı,74 m²,3/14 mərtəbə
160 000,AZN,Bayıl q.,2 otaqlı,65 m²,4/17 mərtəbə
750 000,AZN,Elmlər Akademiyası m.,4 otaqlı,220 m²,12/22 mərtəbə
180 000,AZN,Qara Qarayev m.,2 otaqlı,75 m²,9/16 mərtəbə
245 000,AZN,Elmlər Akademiyası m.,2 otaqlı,65 m²,8/8 mərtəbə
235 000,AZN,Nəsimi m.,3 otaqlı,120 m²,7/17 mərtəbə
76 000,AZN,Masazır q.,2 otaqlı,60.5 m²,10/13 mərtəbə
385 000,AZN,Nəsimi r.,3 otaqlı,132 m²,8/17 mərtəbə
370 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,130 m²,15/18 mərtəbə
330 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,130 m²,15/20 mərtəbə
120 000,AZN,Elmlər Akademiyası m.,2 otaqlı,43 m²,10/12 mərtəbə
307 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,138 m²,7/16 mərtəbə
450 000,AZN,28 May m.,3 otaqlı,200 m²,3/16 mərtəbə
207 000,AZN,Nardaran q.,1 otaqlı,58 m²,6/7 mərtəbə
375 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,140 m²,10/18 mərtəbə
